Frage,Antwort,Referenz
Was ist mit „Opportunity for improvement“ gemeint und wie verbindlich ist deren Abarbeitung?,"Nach dem bereitgestellten Kontext [1] **2.4.3 Opportunity for improvement** ist eine ""Möglichkeit zur Verbesserung"" identifizierbar, wenn die Anforderungen erfüllt sind, aber noch Raum für weitere Verbesserungen besteht. Es gibt keine formellen Fristen für die Bearbeitung von Möglichkeiten zur Verbesserung, sie sollten jedoch berücksichtigt und entsprechende Entscheidungen dokumentiert werden, bevor der nächste Audit stattfindet.

Quelle: Document: KISTERS_IS_Audits.pdf | Section: 2.4.3 Opportunity for improvement",Audit Guideline – 2.4.3 Opportunity for improvement
Wie wird ein Audit-Befund im Ticketsystem dokumentiert?,"Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 3 Management of audit findings"" [1] MÜSSEN alle Audit-Befunde (Ablehnungen und Verbesserungsmöglichkeiten) hinsichtlich KISTERS als verantwortliche Partei im Ticketsystem von KISTERS dokumentiert und nachverfolgt werden. Alle entsprechenden Nachbetrachtungen MÜSSEN gemäß dem ""KISTERS IS Leitfaden Change Management"" [4] nachgehalten werden.

Quelle: 
[source id=""1"">Document: KISTERS_IS_Audits.pdf | Section: 3 Management of audit findings",Audit Guideline – 3.1 Audit Tickets
Wie wird aus einem Audit-Finding ein Ticket und welche Rolle spielt dabei das „Audit Summary Ticket“?,"Laut der Dokumentation ""KISTERS_IS_Audits.pdf"" [1] müssen für jedes Audit einen höherwertigen Ticket oder Issue (""Audit Summary Ticket"") erstellt werden. Dieser muss in Jira als 'IS Audit' erstellt sein und sollte eine detaillierte Beschreibung des Audits enthalten. 

Wenn es bereits ein vorhandenes Ticket gibt, das die gleiche Meldung enthält, ist kein neues Ticket erforderlich. In diesem Fall wird der bestehende Ticket mit dem aktuellen Audit-Summary-Ticket verknüpft.

In Jira sollte das ""Audit Summary Ticket"" mit den Labels ""ISAuditAction"" und ""blocking"" gekennzeichnet werden. 

Wenn ein Ticket für eine Meldung erstellt werden muss, dann kann es entweder direkt aus der Meldung erstellt werden oder das bestehende Ticket muss überprüft, ob es nicht bereits vorhanden ist.

Laut der Dokumentation „KISTERS_IS_Audits.pdf“ [1] sollte ein Audit-Finding in Form eines ""Audit Action Tickets"" erstellt werden. Es besteht auch die Möglichkeit, mehrere Findings zu einem einzelnen Ticket zu kombinieren, wobei alle relevanten IDs aufgeführt werden.

Die Rolle des „Audit Summary Ticket“ ist es, dass das System über eine strukturierte und zentrale Einheit verfügt, die alle Auditinformationen enthält.",Audit Guideline – 3.1 Organization of audit tickets
Wie werden aus Audits stammende Tickets priorisiert (z. B. Major Deviation vs. Minor Deviation) und welche Ziel-Umsetzungsfristen gelten dafür?,"Laut dem Dokument ""KISTERS_IS_Audits.pdf"" | Section: 3.2.1 Standard audit ratings werden Audits von Zertifizierungsstellen und internen Audits mit einem dreiwertigen Bewertungsschema durchgeführt, das wie folgt auf die Bewertung von Audit-Aktionstickets abgebildet werden sollte:


| Audit Rating        | Jira Priority   | Ziel-Beschäftigungszeit   | Ziel-Umsatzfrist   |
|---------------------|-----------------|------------------------|--------------------------|
| Major Deviation     | High            | 2 Wochen                | 1 Monat                  |
| Minor Deviation     | Medium          | 2 Monate               | 3 Monate                 |
| Opp. f. Improvement | Low             | -                      | 6 Monate oder nächster Audit   |
| Opp. f. Improvement | Lowest          | -                      | 12 Monate oder nächster Audit  |",Audit Guideline – 3.2.1 Standard audit ratings
"Wie ist die Zuordnung von Risiko-Ratings (Very High, High, Medium, …) zu Jira-Prioritäten und Bearbeitungsfristen?","Die Zuordnung von Risiko-Ratings zu Jira-Prioritäten und Bearbeitungsfristen ist in der Dokumentation ""KISTERS_IS_Audits.pdf"" im Abschnitt 3.2.2 Risk-based ratings beschrieben.

| Risiko-Rating   | Jira-Priorität    | Zielplanung Zeit     | Zielbehandlung Zeit       |
|-----------------|-------------------|---------------------|---------------------------|
| Very High       | Very High         | ASAP                | 1 Woche                  |
| High            | High              | 2 Wochen             | 1 Monat                  |
| Medium          | Medium            | 2 Monate            | 3 Monate                 |
| Low             | Low               | -                   | 6 Monate oder nächster Audit |
| Informational   | Lowest            | -                   | 12 Monate oder nächster Audit |

In dieser Tabelle ist die Zuordnung von Risiko-Ratings zu Jira-Prioritäten und Bearbeitungsfristen dargestellt.",Audit Guideline – 3.2.2 Risk-based ratings
"Was muss ich beachten, wenn ein Audit-Befund in mehreren Teams Maßnahmen erfordert – wie sollen Tickets angelegt werden?","Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 3.3.2 Multiple Audit Action Tickets per finding"" [1] können für einen Audit-Befund, der in mehreren Teams Maßnahmen erfordert, mehrere Audit-Aktionstickets erstellt werden. Die Unterstützungen dieser Audit-Aktionstickets müssen jedoch die Konvention erfüllen, die im Dokument definiert ist.

Es wird empfohlen, die Auditaufgaben so zu strukturieren, dass sie leicht identifizierbar sind und nicht durch überlappende Aufgaben kompliziert werden.",Audit Guideline – 3.3.2 Multiple Audit Action Tickets per finding
"Wie gehe ich vor, wenn ein bereits existierendes Ticket ein neues Audit-Finding inhaltlich mit abdeckt?","Laut dem Dokument ""KISTERS_IS_Audits.pdf"" (Abschnitt 3.3.3 Re-use of existing tickets) sollten Sie folgendes tun:

* Wenn ein bereits existierendes Ticket ein neues Audit-Finding inhaltlich mit abdeckt, ist es nicht notwendig, ein neues Ticket zu erstellen.
* Stattdessen müssen Sie das bestehende Ticket als Blockierungsticket (blocking ticket) zum aktuellen Audit-Summar-Ticket hinzufügen.",Audit Guideline – 3.3.3 Re-use of existing tickets
"Was ist zu tun, wenn ein Kunde einen Vendor Audit bei KISTERS anfragt oder eigenständig Sicherheitsprüfungen durchführt?","Laut Document: KISTERS_IS_Audits.pdf | Section: 3.4 Special case: vendor audits by clients und Document: KISTERS_IS_External3rdParties.pdf | Section: 3.1 Vendor audits by clients ist die Kommunikation mit dem Kunden wichtig.

Wenn ein Kunde einen Vendor Audit bei KISTERS anfragt, muss der CISO oder BCMO informiert werden, um die Dokumentation und das Management im ISMS/BCMS zu gewährleisten.

Es wird empfohlen, dass die Audits und Auditpläne im Voraus mit dem CISO koordiniert und geplant werden. Außerdem müssen alle notwendigen Vertragsaspekte, wie z.B. die Kostenbeteiligung durch den Kunden, vorher geklärt werden.

Bei der Durchführung des Vendor Audits ist sicherzustellen, dass die Ergebnisse vertraulich behandelt und in das internationale Audit-Reporting des ISMS aufgenommen werden.

Sollten externe Sicherheitsprüfungen erfolgen, muss KISTERS sicherstellen, dass die Prüfer vertrauliche Informationen nicht weitergeben dürfen.",Audit Guideline – 3.4 Special case: vendor audits by clients
Wer überprüft regelmäßig den Status der Audit-Aktionen und wie wird diese Überprüfung dokumentiert?,"Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 4 Review of audit actions"" [1] müssen die Status der Audit-Aktionen regelmäßig überprüft werden. Diese Überprüfung muss von zwei Personen durchgeführt werden:

* Der Teamleiter oder Systemeigentümer, für den auditierten Gegenstand, Bereich, Lösung usw.
* Der ISMT (Information Security Management Team) für alle Audit-Aktionen.

Die Überprüfung sollte in regelmäßigen Abständen erfolgen und die Ergebnisse müssen dokumentiert werden. Alle Änderungen an den Audit-Tickets (z.B. Änderungen der vorgeschlagenen Lösung, der Lösungszeitplan oder des zuständigen Personals) müssen in den entsprechenden Tickets dokumentiert werden.",Audit Guideline – 4 Review of audit actions
Wofür ist das Business Continuity Handbook gedacht und wen betreffen seine Regelungen?,"Das Business Continuity Handbook dient als umfassendes Handbuch für die Geschäftsfortführung in kritischen Situationen. Es enthält alle notwendigen Informationen, Maßnahmen und Verfahren zur Bewältigung von Krisen und Wiederherstellungsprozessen.

Die Regelungen des Business Continuity Handbook gelten für alle Bereiche und Organisationseinheiten innerhalb der KISTERS-Gruppe. Sie sind verpflichtend für alle BCM-Rolleninhaber, die für die Umsetzung der Geschäftsfortführungspolitik verantwortlich sind.

In diesem Zusammenhang ist die Frage nicht direkt im bereitgestellten Kontext beantwortbar.",BCM Handbook – 1.1 Objective / 1.2 Scope
Für welche Situationen ist das Business Continuity Handbook gedacht und für welche Bereiche der KISTERS Gruppe gilt es verbindlich?,"Das Business Continuity Handbook (BC-Handbuch) ist gedacht für die Bewältigung von Ausfallrisiken, also Situationen, in denen Geschäftsprozesse oder die Erfüllung von Vertragsverpflichtungen aufgrund von Ressourcenmangel wie Personal, Informationen, Infrastruktur und Dienstleistungsanbieter gefährdet sind. Ziel des BC-Handbuchs ist es, die Ausfallrisiken zu minimieren und die Wiederherstellungszeiten nach einem Ausfall zu verkürzen.

Das BC-Handbuch gilt für alle Standorte, Organisationseinheiten und Geschäftsprozesse innerhalb der KISTERS Gruppe, wie im ""Leitfaden zur Informationssicherheit, Datenschutz und Business Continuity"" [1] beschrieben. Es ist verbindlich für alle BCM-Rolleinhaber (Business Continuity Management).",BCM Handbook – 1.1 Objective / 1.2 Scope
Wie wird im BCM-Handbuch der Unterschied zwischen „Disruption“ und „Critical Disruption“ beschrieben?,"Der Unterschied zwischen ""Disruption"" und ""Critical Disruption"" wird im KISTERS_BCM_1-BCHandbook.pdf | Section: 1.3 Definitions als folgt beschrieben:
Ein Disruption ist eine Situation, in der Prozesse oder Ressourcen nicht wie vorgesehen verfügbar sind. Als Regel werden Fehlertolerieren die allgemeine Organisation von KISTERS während normaler Betriebszeiten. Zu diesem Zweck werden bestehende Prozesse zur Fehlerbehebung im Rahmen der Incident-Management-Prozesse verwendet.
Einen Critical Disruption ist eine Störung oder Unterbrechung, die mindestens einen zeitkritischen Geschäftsprozess beeinträchtigt und nicht innerhalb des maximalen tolerierbaren Ausfallzeiten (MTPD) wiederhergestellt werden kann.",BCM Handbook – 1.3.1 Disruption / 1.3.2 Critical Disruption
Wann spricht KISTERS von einer Emergency und wann von einer Crisis?,"Laut dem KISTERS BCM Handbook ist eine Emergency [1] eine Unterbrechung der Geschäftsabläufe, die mindestens einen zeitkritischen Geschäftsprozess beeinträchtigt, der innerhalb des maximal tolerierbaren Zeitraums der Störung (MTPD) nicht wiederhergestellt werden kann. Hierbei stehen geeignete Pläne zur Abwicklung von Emergencys vorhanden oder bestehende Pläne können angepasst werden.

Eine Crisis [2] ist hingegen ein schädigendes Ereignis, das einen massiven negativen Einfluss auf KISTERS AG ausübt und dessen Auswirkungen während der normalen Betriebsabläufe nicht gemanagt werden können. Im Gegensatz zur Emergency gibt es für eine Crisis keine spezifischen Kontingenzpläne, bestehende Pläne können nur begrenzt oder gar nicht angepasst werden.

Es ist zu beachten, dass die Kategorisierung von einer Emergency in eine Krise abhängt, ob geeignete Maßnahmen durch den BCM-ERO eingeleitet werden können.",BCM Handbook – 1.3.3 / 1.3.4
"Welche Kriterien müssen erfüllt sein, damit ein Vorfall bei KISTERS als „Emergency“ eingestuft wird?","Ein Vorfall bei KISTERS wird als ""Emergency"" eingestuft, wenn die MTD (Maximum Tolerable Downtime) erreicht wurde und der verantwortliche Manager des Dienstes die Aktivierung des EP (Emergency Procedure) angeordnet hat oder der EMT (Emergency Management Team) einen Notfall erklärte und die Aktivierung des EP angeordnet hat.",BCM Handbook – 1.3.3 Emergency
Ab wann spricht KISTERS von einer „Emergency“ und wodurch unterscheidet sich diese von einer „Crisis“?,"Laut dem KISTERS BCM Handbook [6] wird eine ""Emergency"" ausgelöst, wenn mindestens ein zeitkritischer Geschäftsprozess durch einen Störungseffekt, der nicht innerhalb des Maximum Tolerable Period of Disruption (MTPD) behoben werden kann, beeinträchtigt ist.

Eine ""Crisis"" hingegen wird definiert als eine schädliche Ereignis mit einem massiven negativen Einfluss auf KISTERS AG, dessen Auswirkungen während der normalen Geschäftstätigkeit nicht gemanagt werden können. Im Gegensatz zu einer Emergency gibt es bei einer Crisis keine spezifischen Kontingenzpläne zur Bewältigung des Ereignisses.

Somit unterscheidet sich die Emergency von der Crisis dadurch, dass die Emergency durch einen kurzfristigen Störungseffekt ausgelöst wird, der innerhalb eines bestimmten Zeitraums behoben werden kann, während die Crisis ein langfristiger und schwerwiegenderer Einfluss auf KISTERS AG hat.",BCM Handbook – 1.3.3 Emergency / 1.3.4 Crisis
"Welche Grundprinzipien muss ich bei allgemeinen Sofortmaßnahmen in einer Gefahrensituation beachten (z. B. Evakuierung, Erste Hilfe)?","Laut dem BCM-Handbuch der KISTERS AG müssen bei allgemeinen Sofortmaßnahmen in einer Gefahrensituation die folgenden Grundprinzipien beachtet werden:

* ""Schutzen Sie sich selbst"" (Selbstschutz)
* Der Schutz des Lebens und des körperlichen Wohlergehens hat Vorrang vor dem Schutz von Vermögenswerten
* Bleiben Sie ruhig
* Befolgen Sie alle Anweisungen der Rettungsdienste
* Die Verantwortung für die Sicherheit Ihres Bereichs liegt bei Ihren Vorgesetzten

Dies wird im BCM-Handbuch (KISTERS_BCM_1-BCHandbook.pdf) in Abschnitt 2.1 ""Allgemeine Sofortmaßnahmen"" beschrieben.",BCM Handbook – 2.1 General Immediate Measures
"Was muss ich tun, wenn ich einen Cyberangriff bemerke (z. B. Ransomware)?","Laut dem KISTERS BCM Handbook [5] sollte Folgendes in einem solchen Fall unternommen werden:

1.  Bleib ruhig und folge keinen Anweisungen auf dem Bildschirm, wie z.B. der Eingabe von Passwörtern oder der Formatierung des Festplattenlaufs.
2.  Alle Netzwerkverbindungen sofort trennen (Airplane-Modus aktivieren, WiFi/Bluetooth ausschalten, Netzwerkkabel lösen).
3.  Keine weiteren Programme starten und keine Dateien öffnen!
4.  Die IT-Verantwortlichen sofort kontaktieren (per Telefon oder über einen anderen Kanal, der unabhängig vom betroffenen Gerät ist). Bereits vorher bereitgestellte Informationen sind:
    a) Welches Gerät handelt es sich um, wo steht es und wie wurde/steht es in das Firmennetzwerk eingebunden?
    b) Wie wurde die Infektion festgestellt (Virenscanner, unerwartete Fehlermeldungen etc.)?
    c) Wenn durch Virenscanner detektiert: Welcher Typ von Virus ist betroffen?
    d) Welches mögliche Ursprungquellen des Virus waren (E-Mail, Website, Download, Netzwerk, USB-Stick, CD usw.)?
    e) Könnte das Virus bereits auf andere Geräte übertragen worden sein (per E-Mail, USB-Stick etc.)?

5.  Wenn ein Internetzugriff verfügbar ist, kann eine Online-Scan mit der Anweisung der IT-Verantwortlichen erfolgen.

6.  Alle nachvollziehbare Beweise sollen gesichert und an die zentrale IT-Administration in Aachen weitergeleitet werden, um schnellstmöglich andere gefährdete Systeme zu identifizieren und den Virus auszuschalten.

7.  Den Computer an die IT-Administration übergeben, damit dieser sichergestellt und möglicherweise weitere forensische Untersuchungen durch externe Spezialisten vorgenommen werden können.

8.  Weitere Maßnahmen zur Eindämmung der Schadensfolgen durch die IT-Verantwortlichen vornehmen.

9.  Die CISO-Equipe über die aktuelle Risikosituation informieren.

10. Je nach Risikosituation ein Krisenmanagement-Team (EMT) zusammenrufen.

11. Sollte dies erforderlich sein, auch externe APT-Beraterdienste beauftragen, um die Schäden zu beseitigen.

12. Die Sicherheitsexperten sollten danach eine umfassende Analyse der Situation durchführen und Empfehlungen für zukünftige Maßnahmen an die Geschäftsführung stellen.
 
Zusammengefasst: Bei einem Cyberangriff (z.B. Ransomware) sollte man ruhig bleiben, Netzwerkverbindungen trennen, keine weiteren Programme starten und die IT-Verantwortlichen kontaktieren.",BCM Handbook – 2.2.1 Cyber Attack
"Welche Sofortmaßnahmen soll ein Mitarbeiter ergreifen, wenn er einen Cyberangriff bemerkt?","Laut dem KISTERS BCM Handbook (KISTERS_BCM_1-BCHandbook.pdf) sollen die folgenden Sofortmaßnahmen bei einem Cyberangriff durchgeführt werden:

* Bleib ruhig und vermeide es, auf Anweisungen auf dem Bildschirm zu reagieren (Tabelle 1: Immediate Measures Cyber Attack (Ransomware/Malware), Aktivität Nr. 1)
* Verbindung zur Internetseite trennen, indem Airplane-Modus aktiviert wird, WiFi/Bluetooth ausgeschaltet und der Netzwerk-Kabel herausgezogen wird (Tabelle 1: Immediate Measures Cyber Attack (Ransomware/Malware), Aktivität Nr. 2)
* Keine weiteren Programme starten und keine Dateien öffnen (Tabelle 1: Immediate Measures Cyber Attack (Ransomware/Malware), Aktivität Nr. 3)
* Die IT-Emergenz-Nummer rufen (Tabelle 1: Immediate Measures Cyber Attack (Ransomware/Malware), Aktivität Nr. 4)
* Warte auf weitere Anweisungen (Tabelle 1: Immediate Measures Cyber Attack (Ransomware/Malware), Aktivität Nr. 5)

Zusätzlich soll der Mitarbeiter das Gerät an die IT-Administration übergeben, um Beweise zu sichern und mögliche Schäden einzudämmen (Tabelle 1: Immediate Measures Cyber Attack (Ransomware/Malware), Aktivität Nr. 6).",BCM Handbook – 2.2.1 Cyber Attack Immediate Measures
"Was soll ich als Mitarbeiter konkret tun, wenn bei mir eine Ransomware-Meldung auf dem Bildschirm erscheint?","Laut der KISTERS_Guideline.pdf [1] im Abschnitt 6.1 Cyber Attack (Ransomware/Malware) sollten Sie folgende Schritte einleiten:

1. Bleiben Sie ruhig und folgen Sie nicht den Anweisungen auf dem Bildschirm.
2. Verbinden Sie sich sofort aus dem Netzwerk ab: Aktivieren Sie das Flugzeugmodus, schalten Sie WiFi/Bluetooth aus, ziehen Sie den Netzwerk-Kabel heraus.
3. Öffnen Sie keine weiteren Programme und Dateien!
4. Informieren Sie Ihre IT-Verwaltung telefonisch (!) oder über einen anderen Kanal, der unabhängig von dem betroffenen Gerät ist. Haben Sie die folgenden Informationen bereit:
    - Welches Gerät handelt es sich um? Wo befindet es sich und wie ist es gegenwärtig in das Unternehmensnetzwerk eingebunden?
    - Wie wurde die Ransomware entdeckt (Virenscanner, Dokumente, Crashs, Fehlermeldungen etc.)?
    - Wenn durch Virenscanner detektiert: Welche Art von Ransomware wurde identifiziert?
    - Welches mögliche Ursprung der Ransomware (E-Mail, Website, Download, Netzwerk, USB-Stick, CD usw.?)
    - Kann es sein, dass die Ransomware auf andere übertragen wurde (über E-Mails, USB-Stick, Netzwerk etc.)?
    5. Warten Sie auf weitere Anweisungen Ihrer IT-Verwaltung.
6. Sollten Sie eine Internetverbindung haben, können Sie Ihr Computer mit einer Online-Virensz scanner nach Ransomware testen, nach vorheriger Abstimmung und unter Anweisung der IT-Administration:

* https://www.trendmicro.com/de_de/forHome/products/housecall.html/
* https://www.eset.com/de/home/online-scanner/

Sollten dies verfügbar sein, sollte ein Logfile gespeichert und an die zentrale IT-Administration in Aachen weitergeleitet werden, um andere gefährdete Systeme zu identifizieren und die Ransomware so schnell wie möglich auszuschalten.

Zum Abschluss sollten Sie Ihren Computer der IT-Verwaltung übergeben lassen, um Spuren sichern und ggf. weitere forensische Untersuchung durch externe Experten durchführen zu können.",BCM Handbook – 2.2.1 Immediate Measures in the Event of Cyber Attack (Ransomware/Malware)
"Wie gehe ich vor, wenn ich als Mitarbeiter einen länger andauernden Stromausfall im Gebäude bemerke? Wen informiere ich?","Laut dem KISTERS Business Continuity Management (BCM) Handbook [4] sollten Sie folgende Schritte einleiten:

1. Melden Sie den Stromausfall per Telefon an die Facility-Management oder der Verwaltung mit der Bitte um sofortige Weiterleitung zur Facility-Management.
2. Die Facility-Management sollte dann unverzüglich alle erforderlichen Maßnahmen ergreifen, um den Schaden zu begrenzen und die Stromversorgung wiederherzustellen.

Ferner ist es wichtig, dass Sie auch die BCMO (Business Continuity Management Officer) oder den CISO (Chief Information Security Officer) über den Stromausfall informieren, wenn dies in Ihrem Einflussbereich liegt.",BCM Handbook – 2.2.4 Immediate Measures in the Event of Power Failure
