Frage,Antwort,Referenz
Was ist mit „Opportunity for improvement“ gemeint und wie verbindlich ist deren Abarbeitung?,"Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 2.4.3 Opportunity for improvement"" ist eine ""Opportunity for improvement"" eine Möglichkeit, die sich aus einer Audits ergibt, aber noch nicht erfüllt wurde.

Es gibt keine feste Frist für die Abarbeitung von Opportunities for Improvement. Sie sollten jedoch bevor der nächsten Audit in Betracht gezogen und entsprechende Entscheidungen dokumentiert werden.

In diesem Sinne ist die Abarbeitung einer Opportunity for Improvement empfohlen, aber nicht verpflichtend.

Quelle: KISTERS_IS_Audits.pdf | Section: 2.4.3 Opportunity for improvement",Audit Guideline – 2.4.3 Opportunity for improvement
Wie wird ein Audit-Befund im Ticketsystem dokumentiert?,"Laut der Dokumentation ""KISTERS_IS_Audits.pdf"" (Abschnitt 3 Management of audit findings) müssen alle Audit-Befunde (Abweichungen und Verbesserungsmöglichkeiten) betreffend KISTERS als verantwortliche Partei dokumentiert und im Ticketsystem nachverfolgt werden.",Audit Guideline – 3.1 Audit Tickets
Wie wird aus einem Audit-Finding ein Ticket und welche Rolle spielt dabei das „Audit Summary Ticket“?,"Laut dem Dokument ""KISTERS_IS_Audits.pdf"" | Section: 3.1 Organization of audit tickets (Quelle: [id nicht vorhanden]) sollten für jeden Audit, ein oberstes Ticket oder Problem (""Audit Summary Ticket"") erstellt werden.

Um aus einem Audit-Finding ein Ticket zu machen, wird laut dem Dokument ""KISTERS_IS_Audits.pdf"" | Section: 3.3.3 Re-use of existing tickets (Quelle: [1]) empfohlen, dass ein bestehendes Ticket nicht neu erstellt, sondern vielmehr als Audit Action Ticket angebunden werden muss.

Das „Audit Summary Ticket“ stellt hierbei die Oberstufe dar und dient dazu, alle relevanten Informationen zu einem bestimmten Audit zusammenzufassen.",Audit Guideline – 3.1 Organization of audit tickets
Wie werden aus Audits stammende Tickets priorisiert (z. B. Major Deviation vs. Minor Deviation) und welche Ziel-Umsetzungsfristen gelten dafür?,"Nach der KISTERS_IS_Audits.pdf, Section 2.4 Audit findings, gibt es zwei Arten von Nichtkonformitäten: Major Deviation und Minor Deviation. 

Bei einer Major Deviation handelt es sich um eine signifikante Nichtkonformität mit den relevanten Anforderungen, die möglicherweise die Erreichung der erforderlichen Ziele des überprüften Prozesses beeinträchtigen kann (Konformität mit Standards, Wirksamkeit von Verfahren usw.). 

In diesem Fall gilt eine Ziel-Umsetzungsfrist von 1 Monat. 

Bei einer Minor Deviation handelt es sich um eine Nichtkonformität, die in sich selbst nicht den Erreichung der Ziele des überprüften Prozesses beeinträchtigt. Diese sollte innerhalb eines festgelegten Zeitraums korrigiert werden, oft bis zur nächsten Auditierung. 

Die Ziel-Umsetzungsfrist für Minor Deviation liegt bei 3 Monaten.

Hinweis: Die genannten Fristen gelten gemäß der KISTERS_IS_Audits.pdf, Section 2.4 Audit findings.",Audit Guideline – 3.2.1 Standard audit ratings
"Wie ist die Zuordnung von Risiko-Ratings (Very High, High, Medium, …) zu Jira-Prioritäten und Bearbeitungsfristen?","Laut der Dokumentation ""KISTERS_IS_Audits.pdf"" (Abschnitt 3.2.2 Risk-based ratings) gibt es folgende Zuordnungen:

| Risiko-Rating   | Jira-Priorität   | Zielplanungsdauer   | Zielauflösungszeit |
|-----------------|-----------------|---------------------|--------------------|
| Sehr Hoch       | Sehr hoch        | ASAP                | 1 Woche            |
| Hoch          | Hoch            | 2 Wochen            | 1 Monat           |
| Mittel         | Mittel          | 2 Monate            | 3 Monate          |
| Niedrig        | Niedrig        | -                  | 6 Monate oder nächste Audit |
| Informationswert | Tiefstes        | -                 | 12 Monate oder nächster Audit |

Diese Zuordnungen können als Referenz für die Verwendung in Jira-Prioritäten und Bearbeitungsfristen dienen.",Audit Guideline – 3.2.2 Risk-based ratings
"Was muss ich beachten, wenn ein Audit-Befund in mehreren Teams Maßnahmen erfordert – wie sollen Tickets angelegt werden?","Nachdem ein Audit-Befund in mehreren Teams Maßnahmen erfordert, können mehrere Audit-Aktionstickets für einen einzelnen Befund erstellt werden. Alle Ticket-Subjekte müssen die Konvention folgen, aber sollten unterschiedlich sein, um eine einfache Identifizierung zu ermöglichen.

Quelle: KISTERS_IS_Audits.pdf | Section 3.3.2 Multiple Audit Action Tickets per finding",Audit Guideline – 3.3.2 Multiple Audit Action Tickets per finding
"Wie gehe ich vor, wenn ein bereits existierendes Ticket ein neues Audit-Finding inhaltlich mit abdeckt?","Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 3.3.3 Re-use of existing tickets"" [1] muss kein neues Audit Action Ticket erstellt werden, wenn ein bereits existierendes Ticket ein neues Audit-Finding inhaltlich mit abdeckt. Stattdessen sollte das bestehende Audit Action Ticket als Blockierungsticket zum aktuellen Audit-Summary-Ticket hinzugefügt werden.

Der Inhalt von [1] lautet: ""If a finding from a previous audit is reported again in a subsequent audit, it is not necessary to create a new Audit Action Ticket. Instead, the existing Audit Action Ticket MUST additionally be linked the current Audit Summary Ticket as a blocking ticket.""

In diesem Fall ist keine weitere Maßnahme erforderlich, da das bestehende Ticket bereits die Anforderungen des neuen Audit-Findings erfüllt.

Quelle: [1] Document: KISTERS_IS_Audits.pdf | Section: 3.3.3 Re-use of existing tickets",Audit Guideline – 3.3.3 Re-use of existing tickets
"Was ist zu tun, wenn ein Kunde einen Vendor Audit bei KISTERS anfragt oder eigenständig Sicherheitsprüfungen durchführt?","Laut der Dokumente ""KISTERS_IS_External3rdParties.pdf"" und ""KISTERS_IS_Audits.pdf"" ist folgendes zu beachten, wenn ein Kunde einen Vendor Audit bei KISTERS anfragt oder eigenständig Sicherheitsprüfungen durchführt:

1.  Die Anfrage des Kunden muss unverzüglich der KISTERS Geschäftsführung zur Kenntnis gebracht werden.
2.  Die KISTERS CISO oder BCMO muss informiert werden, um sicherzustellen, dass die Anfrage im KISTERS ISMS / BCMS entsprechend dokumentiert wird.
3.  Die Auditpläne und -resultate müssen mit der KISTERS CISO abgesprochen werden, um sicherzustellen, dass die Prüfungen nicht unangemessen und nicht kontrollierbar für KISTERS sind.
4.  Ein Vertraulichkeitsvertrag zwischen dem Kunden und KISTERS muss vor Beginn der Audit-Prüfungen geschlossen werden.
5.  Wenn ein externer Auditor eingeschaltet wird, muss auch ein Vertraulichkeitsvertrag zwischen diesem und KISTERS abgeschlossen werden.
6.  Der Zugriff auf Systeme und Daten anderer Kunden durch den externen Auditor ist nicht zulässig.
7.  Die Ergebnisse der Audit-Prüfungen müssen vertraulich behandelt werden und an die KISTERS CISO oder BCMO zur Verfügung gestellt werden.

Es ist wichtig, dass alle diese Schritte sorgfältig durchgeführt werden, um sicherzustellen, dass die Prüfungen ordnungsgemäß durchgeführt und die Ergebnisse entsprechend dokumentiert werden.",Audit Guideline – 3.4 Special case: vendor audits by clients
Wer überprüft regelmäßig den Status der Audit-Aktionen und wie wird diese Überprüfung dokumentiert?,"Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 4 Review of audit actions"" sind diejenigen verantwortlich, die sich um das entsprechende Thema kümmern. Der Status der Audit-Aktionen wird regelmäßig von:

* Der zuständigen Leitung oder Systembesitzer des geprüften Gegenstands, Bereichs, Lösung, Organisation usw.
* Der ISMT für alle Audit-Aktionen

Die Überprüfung wird dokumentiert, indem sichergestellt wird, dass alle Änderungen in den entsprechenden Ticket-Vermerken eingetragen werden.",Audit Guideline – 4 Review of audit actions
Wofür ist das Business Continuity Handbook gedacht und wen betreffen seine Regelungen?,"Das Business Continuity Handbook soll als Leitfaden dienen, um die Gesamtheit der Maßnahmen zur Wiederherstellung der Geschäftsfähigkeit bei einer Störung zu dokumentieren. Es soll dabei insbesondere die Zeitkritischen Geschäftsprozesse im Auge haben und sicherstellen, dass diese schnellstmöglich wieder aufgenommen werden können.

Die Regelungen in diesem Handbuch gelten für alle Bereiche und Standorte innerhalb der KISTERS Gruppe. Daher betreffen sie alle Mitarbeiter und Abteilungen, die von diesen Regeln abgeleitete Anforderungen an ihre Arbeit haben müssen.",BCM Handbook – 1.1 Objective / 1.2 Scope
Für welche Situationen ist das Business Continuity Handbook gedacht und für welche Bereiche der KISTERS Gruppe gilt es verbindlich?,"Das Business Continuity Handbook (BCH) ist für die Situationen vorbereitet, in denen Geschäftsprozesse oder die Erbringung von Dienstleistungen durch eine Krise oder einen Notfall bedroht sind. Es deckt die Bereiche der KISTERS Gruppe ab, die unter den Anforderungen des BCM stehen.

Laut dem Handbook ist das Business Continuity Plan (BCP) für alle organisatorischen Einheiten verbindlich und umfasst Maßnahmen, Verfahren und weitere Informationen zur Reaktion auf unterbrochene Geschäftsprozesse. Die BCPs werden in dezentralen Dokumenten festgehalten.

Das Business Continuity Handbook ist auch für die KISTERS Gruppe insgesamt verbindlich und deckt alle Standorte, organisatorischen Einheiten und Geschäftsprozesse ab.",BCM Handbook – 1.1 Objective / 1.2 Scope
Wie wird im BCM-Handbuch der Unterschied zwischen „Disruption“ und „Critical Disruption“ beschrieben?,"Nach dem BCM-Handbuch von KISTERS (KISTERS_BCM_1-BCHandbook.pdf) werden Disruptions und Critical Disruptions wie folgt definiert:

Ein Disruption ist eine Situation, in der Prozesse oder Ressourcen nicht wie vorgesehen verfügbar sind. Als Regel werden Fehler während normaler Betriebszeiten von der allgemeinen Organisation von KISTERS behoben. Dazu werden bestehende Prozesse für Fehlersuche innerhalb des Rahmenwerks der Fehlertoleranzmanagement verwendet.

Eine Critical Disruption hingegen ist eine Unterbrechung von Geschäftsbetrieben, die mindestens einen Zeitkritischen Betriebsprozess beeinträchtigt, der nicht innerhalb der maximalen Dauer der Störungsperiode (MTPD) wieder normal arbeiten kann. Critical Disruptions werden im Allgemeinen während normaler Betriebzeit von der allgemeinen Organisation von KISTERS behoben.

Quelle: KISTERS_BCM_1-BCHandbook.pdf, Section 1.3.1 ""Disruption"" und 1.3.2 ""Critical Disruption""

Dies ist eine direkte Aussage aus dem bereitgestellten Kontext, ohne Reinterpretation oder Ergänzung durch externe Kenntnisse.",BCM Handbook – 1.3.1 Disruption / 1.3.2 Critical Disruption
Wann spricht KISTERS von einer Emergency und wann von einer Crisis?,"Laut dem BCM-Handbuch der KISTERS AG [4] wird eine Emergency als eine Unterbrechung der Geschäftsabläufe beschrieben, die mindestens einen zeitkritischen Geschäftsbetrieb betrifft, der während normaler Betriebsabläufe innerhalb des maximal tolerierbaren Ausfallzeitraums (MTPD) nicht wiederhergestellt werden kann. [4] Eine Emergency erfordert eine spezielle Kontingenzplanung und -ausführung durch die BCM-ERO.

Eine Crisis wird dagegen als ein schädlicher Ereignis beschrieben, der einen massiven negativen Einfluss auf KISTERS AG hat und dessen Auswirkungen während normaler Betriebsabläufe nicht gemanagt werden können. [4] Im Gegensatz zu einer Emergency fehlen bei einer Crisis spezifische Kontingenzpläne, oder diese können nur begrenzt oder überhaupt nicht umgesetzt werden.

Insgesamt ist die Definition von Emergency und Crisis in dem BCM-Handbuch der KISTERS AG klar differenziert und es wird klargestellt, welche Maßnahmen für jede dieser Situationen erforderlich sind.",BCM Handbook – 1.3.3 / 1.3.4
"Welche Kriterien müssen erfüllt sein, damit ein Vorfall bei KISTERS als „Emergency“ eingestuft wird?","Laut dem Dokument ""KISTERS_BCM_1-BCHandbook.pdf"" im Abschnitt ""1.3.3 Emergency"" werden Ereignisse als ""Emergency"" eingestuft, wenn sie eine Unterbrechung der Geschäftsabläufe darstellen und dabei zumindest ein zeitkritischer Geschäftsprozess betroffen ist, der innerhalb des Maximum Tolerable Period of Disruption (MTPD) nicht wiederhergestellt werden kann.",BCM Handbook – 1.3.3 Emergency
Ab wann spricht KISTERS von einer „Emergency“ und wodurch unterscheidet sich diese von einer „Crisis“?,"Nach dem Dokument ""KISTERS_BCM_1-BCHandbook.pdf"" (Abschnitt 1.3.3) definiert KISTERS eine Emergency als eine Unterbrechung der Geschäftsabläufe, die mindestens einen zeitkritischen Geschäftsvorgang beeinträchtigt und innerhalb des maximalen tolerierbaren Zeitraums der Störung (MTPD) nicht wiederhergestellt werden kann.

Eine Crisis hingegen wird als ein schädlicher Ereignis definiert, der eine massive negative Auswirkung auf KISTERS AG hat und deren Auswirkungen während normalen Geschäftsabläufen nicht bewältigt werden können. Im Gegensatz zu einer Emergency gibt es für eine Crisis keine spezifischen Kontingenzpläne.

Quelle: Dokument ""KISTERS_BCM_1-BCHandbook.pdf"" | Abschnitt 1.3.3",BCM Handbook – 1.3.3 Emergency / 1.3.4 Crisis
"Welche Grundprinzipien muss ich bei allgemeinen Sofortmaßnahmen in einer Gefahrensituation beachten (z. B. Evakuierung, Erste Hilfe)?","Laut dem KISTERS Business Continuity Management-Handbuch [6] müssen bei allgemeinen Sofortmaßnahmen folgende Grundsätze beachtet werden:

* Die Sicherheit von Leben und Gesundheit muss vor der Sicherung von Eigentum oder Vermögen haben.
* Bei akuter Gefahr muss der Bereich gesichert, die Einzelsituation gemeldet und Personen gepflegt werden.
* Beispielsweise müssen sofortige Erste-Hilfe-Maßnahmen getroffen, Uninjured Personen gerettet und im Bedarfsfall evakuiert werden.",BCM Handbook – 2.1 General Immediate Measures
"Was muss ich tun, wenn ich einen Cyberangriff bemerke (z. B. Ransomware)?","Lassen Sie sich bitte nicht von der Situation überfordern und bleiben Sie ruhig! Bei einem Cyberangriff wie z.B. einer Ransomware-Attacke sollten folgende Schritte unternommen werden:

1. Bleiben Sie kalt und vermeiden Sie es, auf Anweisungen auf dem Bildschirm zu reagieren.
2. Trennen Sie alle Netzwerkverbindungen sofort ab (aktivieren Sie den Flugmodus, schalten Sie WiFi/Bluetooth aus und entfernen Sie die Netzwerkschleife).
3. Öffnen Sie keine weiteren Programme oder Dateien.
4. Rufen Sie das IT-Emergenztelefon an.
5. Warten Sie auf weitere Anweisungen.
6. Übergeben Sie den Computer an die IT-Administration, um Beweise zu sichern und ggf. externe Forensik-Spezialisten einzuschalten.

Diese Schritte helfen dabei, den Schaden zu begrenzen und eine schnelle Wiederherstellung der Systeme zu ermöglichen.",BCM Handbook – 2.2.1 Cyber Attack
"Welche Sofortmaßnahmen soll ein Mitarbeiter ergreifen, wenn er einen Cyberangriff bemerkt?","Laut dem BCM-Handbuch der KISTERS AG (Document: KISTERS_BCM_1-BCHandbook.pdf) sind die folgenden Sofortmaßnahmen zu treffen, wenn ein Mitarbeiter einen Cyberangriff bemerkt:

1.  Bleiben Sie ruhig und schließen Sie keine Anweisungen auf dem Bildschirm aus.
2.  Alle Netzwerkverbindungen trennen (Airplane-Modus aktivieren, WiFi/Bluetooth abschalten, Netzwerkkabel entkuppeln).
3.  Keine weiteren Programme starten und keine Dateien öffnen.
4.  Das IT-Emergenztelefon anrufen.
5.  Warten Sie auf weitere Anweisungen.
6.  Für die Beweissicherung und forensische Ermittlung den Computer an das IT-Team übergeben.

Diese Maßnahmen sind wichtig, um einen Schaden zu minimieren und eine schnellstmögliche Reaktion zu gewährleisten.",BCM Handbook – 2.2.1 Cyber Attack Immediate Measures
"Was soll ich als Mitarbeiter konkret tun, wenn bei mir eine Ransomware-Meldung auf dem Bildschirm erscheint?","Laut KISTERS_BCM_1-BCHandbook.pdf, Abschnitt 2.2.1 Immediate Measures in the Event of Cyber Attack (Ransomware / Malware) solltest du als Mitarbeiter folgende Schritte einleiten:

1. Bleib ruhig und beachte keine Anweisungen auf dem Bildschirm!
2. Beende alle Netzwerkverbindungen sofort! (Aktiviere den Flugmodus, schalte das WLAN/Bluetooth aus, ziehe den Netzwerkkabel heraus usw.)
3. Öffne keine weiteren Programme und Dateien.
4. Ruf die IT-Emergenznummer an!
5. Warte auf weitere Anweisungen.
6. Übergebe deinen Computer zum sicheren Beweissicherung und ggf. forensischer Untersuchung durch die IT-Administration.

Bitte beachte auch, dass du in diesem Fall unbedingt auf die genannten Schritte achten musst, um den potenziellen Schaden zu begrenzen.

Quelle: KISTERS_BCM_1-BCHandbook.pdf, Abschnitt 2.2.1 Immediate Measures in the Event of Cyber Attack (Ransomware / Malware)",BCM Handbook – 2.2.1 Immediate Measures in the Event of Cyber Attack (Ransomware/Malware)
"Wie gehe ich vor, wenn ich als Mitarbeiter einen länger andauernden Stromausfall im Gebäude bemerke? Wen informiere ich?","Laut dem KISTERS BCM Handbook müssen Sie bei einem länger andauernden Stromausfall zunächst die Sicherheit der Mitarbeiter und der Ausrüstung priorisieren. Dazu gehören:

1. Die Notifikation des Schadensereignisses an das Gebäudemanagement oder das Hauptquartier mit einer Anfrage zur sofortigen Weiterleitung an das Gebäudemanagement.
2. Durchführung von Troubleshooting und Maßnahmen zum Einschränken der Schäden durch die Gebäudeverwaltung.
3. Informieren Sie den BCMO oder CISO abhängig von der Risikosituation.

Es ist wichtig, dass Sie alle Beteiligten über die Situation informieren, um gemeinsam eine Lösung zu finden und die Auswirkungen des Stromausfalls minimieren zu können.",BCM Handbook – 2.2.4 Immediate Measures in the Event of Power Failure
Wen informiere ich bei einem länger andauernden Stromausfall?,"Laut dem Dokument ""KISTERS_BCM_1-BCHandbook.pdf"" im Abschnitt 2.2.4 Immediate Measures in the Event of Power Failure ist folgende Informationspflicht festgelegt:

|   No. | Activity                                                                                                                                                     | Responsible                               |
|-------|--------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------|
|     1 | Power failure noticed: Report by telephone to the facility managementorheadofficewith a request for immediate forwarding to the facility management | Reporting person                        |

In diesem Fall müsste also der Facility Management informiert werden.",BCM Handbook – 2.2.4 Power Failure
"An wen soll ich mich wenden, wenn im Gebäude der Strom ausgefallen ist?","Laut dem Dokument ""KISTERS_BCM_1-BCHandbook.pdf"" | Section: 2.2.4 Immediate Measures in the Event of Power Failure sollte man sich bei einem Stromausfall zunächst an die ""Reportierungsperson"" wenden, um den Betriebsleiter oder das Büro darüber zu informieren. Die Reportierungsperson muss dann eine Telefonnummer der Leitstelle (Notrufnummer) wählten.",BCM Handbook – 2.2.4 Power Failure
